22:07:37 [ INFO] Output verbosity level: WARN
22:07:37 [ INFO] Logfile verbosity level: INFO
22:07:37 [ INFO] Writing to log file: goose.log
22:07:37 [ INFO] global host configured: http://127.0.0.1:8080
22:07:37 [ INFO] initializing user states...
22:07:37 [ INFO] launching user 1 from LoadtestTasks...
22:07:37 [ INFO] launching user 2 from LoadtestTasks...
22:07:37 [ INFO] launching user 3 from LoadtestTasks...
22:07:37 [ INFO] launching user 4 from LoadtestTasks...
22:07:37 [ INFO] launching user 5 from LoadtestTasks...
22:07:37 [ INFO] launching user 6 from LoadtestTasks...
22:07:37 [ INFO] launching user 7 from LoadtestTasks...
22:07:37 [ INFO] launching user 8 from LoadtestTasks...
22:07:37 [ INFO] launching user 9 from LoadtestTasks...
22:07:37 [ INFO] launching user 10 from LoadtestTasks...
22:07:37 [ INFO] launching user 11 from LoadtestTasks...
22:07:37 [ INFO] launching user 12 from LoadtestTasks...
22:07:37 [ INFO] launching user 13 from LoadtestTasks...
22:07:37 [ INFO] launching user 14 from LoadtestTasks...
22:07:38 [ INFO] launching user 15 from LoadtestTasks...
22:07:38 [ INFO] launching user 16 from LoadtestTasks...
22:07:38 [ INFO] launching user 17 from LoadtestTasks...
22:07:38 [ INFO] launching user 18 from LoadtestTasks...
22:07:38 [ INFO] launching user 19 from LoadtestTasks...
22:07:38 [ INFO] launching user 20 from LoadtestTasks...
22:07:38 [ INFO] launching user 21 from LoadtestTasks...
22:07:38 [ INFO] launching user 22 from LoadtestTasks...
22:07:38 [ INFO] launching user 23 from LoadtestTasks...
22:07:38 [ INFO] launching user 24 from LoadtestTasks...
22:07:38 [ INFO] launching user 25 from LoadtestTasks...
22:07:38 [ INFO] launching user 26 from LoadtestTasks...
22:07:38 [ INFO] launching user 27 from LoadtestTasks...
22:07:38 [ INFO] launching user 28 from LoadtestTasks...
22:07:38 [ INFO] launching user 29 from LoadtestTasks...
22:07:38 [ INFO] launching user 30 from LoadtestTasks...
22:07:38 [ INFO] launching user 31 from LoadtestTasks...
22:07:38 [ INFO] launching user 32 from LoadtestTasks...
22:07:38 [ INFO] launching user 33 from LoadtestTasks...
22:07:39 [ INFO] launching user 34 from LoadtestTasks...
22:07:39 [ INFO] launching user 35 from LoadtestTasks...
22:07:39 [ INFO] launching user 36 from LoadtestTasks...
22:07:39 [ INFO] launching user 37 from LoadtestTasks...
22:07:39 [ INFO] launching user 38 from LoadtestTasks...
22:07:39 [ INFO] launching user 39 from LoadtestTasks...
22:07:39 [ INFO] launching user 40 from LoadtestTasks...
22:07:39 [ INFO] launching user 41 from LoadtestTasks...
22:07:39 [ INFO] launching user 42 from LoadtestTasks...
22:07:39 [ INFO] launching user 43 from LoadtestTasks...
22:07:39 [ INFO] launching user 44 from LoadtestTasks...
22:07:39 [ INFO] launching user 45 from LoadtestTasks...
22:07:39 [ INFO] launching user 46 from LoadtestTasks...
22:07:39 [ INFO] launching user 47 from LoadtestTasks...
22:07:39 [ INFO] launching user 48 from LoadtestTasks...
22:07:39 [ INFO] launching user 49 from LoadtestTasks...
